MYC2,ANAC072,ZFHD1,HOS1,SIZ1,WRKY18,WRKY40,AREB1,AREB2 ,ABF1,ABF3,DRIP1,MAP3K15,MKK4,MPK6,WRKY59,RD20,ICE1,MYB15,DREB1A,DREB1B,DREB1C,WRKY60,MYB2,ANAC019,ANAC055,RD22,ATAF1,DREB1D,ERD1,DREB2A,RD29A
AT1G32640,AT4G27410,AT1G69600,AT2G39810,AT3G25910,AT4G31800,AT1G80840,AT1G45249,AT3G19290,AT1G49720,AT4G34000,AT1G06770,AT5G55090,AT1G51660,AT2G43790,AT2G21900,AT2G33380,AT3G26744,AT3G23250,AT4G25480,AT4G25490,AT4G25470,AT2G25000,AT2G47190,AT1G52890,AT3G15500,AT5G25610,AT1G01720,AT5G51990,AT5G51070,AT5G05410,AT5G52310
9.086554,7.784505,7.445557,7.372698,7.55166,7.510565,8.564697,7.345378,7.45013,7.829171,7.801628,7.002783,7.077962,7.208008,7.949041,6.903971,8.14216,7.213433,7.278245,7.395752,9.026172,7.524251,6.967556,7.250854,7.308716,6.588745,9.15625,7.463786,7.205078,9.2146,8.079319,9.789177
9.373355,7.802669,7.380005,7.280622,7.701367,7.801048,9.291626,7.803792,7.574284,8.168039,7.914388,7.042139,6.844645,7.639874,7.761719,6.67806,7.382952,7.127713,7.082858,7.394287,8.858984,7.543294,7.287326,7.172607,7.37915,6.80127,9.800706,7.919596,7.376709,8.662144,8.519423,9.896025
9.412418,8.008203,7.763184,7.374965,7.603223,9.701172,9.754272,7.562988,7.296875,7.216797,8.244857,7.030615,6.881673,7.776367,7.946467,6.407552,8.42327,6.964735,7.950947,7.197754,8.324414,7.430827,7.372287,7.55603,7.5448,7.012085,9.262169,8.151123,7.330811,10.00164,8.963759,9.076804
9.605263,8.556445,7.635376,7.354736,7.319238,9.625621,9.529297,7.35612,7.441667,7.022252,7.32207,6.926611,6.912272,7.882362,7.527344,6.625326,7.421875,7.143555,8.486028,7.129395,8.349805,7.145671,6.939887,7.199341,8.114136,7.234375,9.841572,8.381999,7.020996,8.733817,9.254883,8.823759
8.849352,7.790104,7.25415,7.20016,6.94873,7.253817,7.483032,7.320394,7.595964,7.511579,7.481836,6.925,6.906006,7.035532,7.892401,7.254557,7.756975,7.312934,7.097356,7.383789,8.393359,7.535807,6.790907,7.294312,7.063354,7.236206,8.683218,7.498861,7.146729,8.331229,7.266168,9.273955
9.451943,7.833724,7.330078,7.299944,7.800879,7.280451,9.075928,7.739421,7.546224,7.848633,7.645443,7.160254,7.137288,7.454552,7.481268,6.710612,7.43178,7.285482,7.287184,7.098389,8.845703,7.703776,6.896484,7.231567,7.588379,6.769287,10.38462,7.995605,7.183105,8.096784,8.984375,9.266716
8.63641,7.452474,7.618164,7.341204,7.491016,7.46946,7.644287,7.392415,7.159701,7.440569,7.53418,7.158154,7.015299,7.188702,7.690696,6.885742,7.733538,7.094076,7.418645,7.111084,7.938086,7.027669,7.01671,7.070068,7.545776,6.860107,8.85314,7.196615,7.006836,8.400565,7.598199,9.284639
8.541067,7.376042,7.716675,7.319092,7.625098,7.328924,7.971436,7.421875,7.259961,7.427804,7.633464,7.087939,7.273926,7.33451,7.143288,6.790365,7.013811,7.197266,7.119216,7.322021,8.5,7.311198,7.174805,7.202759,7.237305,6.888062,9.089543,7.20516,7.484863,7.679862,8.335286,8.656939
8.40553,7.395313,7.40979,7.343192,7.468848,7.613459,7.821045,7.274821,7.295768,7.234515,7.711003,7.311279,6.940592,7.300631,7.358842,7.088542,7.585938,6.919705,7.157151,7.425537,8.068164,6.877279,7.15842,7.401001,7.216064,6.911255,9.252178,7.181559,7.053223,8.149763,7.457357,8.614545
8.734272,7.49362,7.586914,7.465576,7.304492,7.877752,8.541992,7.512777,7.733724,7.69894,7.664453,7.178955,7.247314,7.517879,7.426225,7.091797,7.148438,7.120551,7.286809,7.176514,8.038867,6.809408,7.03635,7.247314,7.057739,6.993164,10.27607,7.653809,7.13623,7.801549,8.485243,8.535386
8.24558,7.738932,8.204224,7.283098,7.55791,7.293324,7.592041,7.255697,7.425,7.134208,7.439974,7.357813,6.920329,7.144681,7.506303,6.699544,7.294922,6.933051,7.490986,7.248047,8.51543,7.307617,7.157878,7.129761,7.230957,6.846313,9.129808,7.387451,7.283447,8.098319,7.588867,8.811351
8.930304,7.937174,7.940063,7.455462,7.437109,7.887962,8.70813,7.477376,7.826888,7.713728,7.850326,7.16792,6.914063,7.527118,7.373668,6.469727,7.237863,6.943793,7.179838,7.256592,8.713086,7.227051,7.106879,7.300415,7.766724,6.668701,10.25008,7.527751,7.51001,8.073835,8.232313,8.564223
8.50257,8.042253,7.382568,7.438895,7.358008,7.199485,8.12207,7.378581,7.630404,7.557966,8.285612,7.098486,7.00651,7.184195,7.979226,6.654948,7.231864,7.018989,7.10607,7.440918,8.705664,7.652669,7.081489,7.143799,7.310669,6.935425,9.649564,7.377523,7.063232,9.094936,7.93967,9.032744
